C,33249,1773888390.96
T,33249,0
C,33202,1773888434.92
T,33202,0
C,33224,1773888615.89
C,33261,1773888653.13
T,33261,0
C,31532,1773888710.42
T,31532,0
C,33282,1773888893.19
T,33282,0
C,33224,1773888957.85
T,33224,0
C,33313,1773889097.56
T,33313,0
C,33273,1773889237.43
T,33273,0
C,33321,1773889376.71
T,33321,0
C,33329,1773889400.31
T,33329,0
C,33309,1773889440.46
T,33309,0
C,31636,1773889517.93
T,31636,0
C,33308,1773889572.95
T,33308,0
C,33344,1773889613.41
T,33344,0
C,33338,1773889663.49
T,33338,0
C,33359,1773889860.01
T,33359,0
C,33334,1773889984.50
T,33334,0
C,33363,1773890030.14
T,33363,0
C,33377,1773890086.53
T,33377,0
C,33381,1773890135.95
T,33381,0
C,33390,1773890162.38
T,33390,0
C,33397,1773890310.32
T,33397,0
C,33407,1773890553.95
T,33407,0
C,33376,1773890595.98
T,33376,0
C,33352,1773890637.08
T,33352,0
C,33410,1773890671.81
T,33410,0
C,33418,1773890764.09
T,33418,0
C,33412,1773890807.71
T,33412,0
C,33398,1773890840.25
T,33398,0
C,33415,1773890921.61
T,33415,0
C,33427,1773890966.32
T,33427,0
C,33422,1773891086.91
T,33422,0
C,33433,1773891256.49
T,33433,0
C,33440,1773891291.41
T,33440,0
C,33436,1773891352.69
T,33436,0
C,33441,1773893059.89
T,33441,0
C,33455,1773893211.17
T,33455,0
C,33590,1773893263.50
T,33590,0
C,34069,1773893488.47
T,34069,0
C,34078,1773893591.68
T,34078,0
C,3258,1773961723.38
T,3258,0
C,3225,1773961754.84
T,3225,0
C,2921,1773961869.56
T,2921,0
C,38716,1773962002.10
T,38716,0
C,3785,1773962029.77
T,3785,0
C,3724,1773962075.39
T,3724,0
C,8304,1773962090.40
T,8304,0
C,112941,1773962103.39
T,112941,0
C,24342,1773962125.73
T,24342,0
C,29948,1773962214.37
T,29948,0
C,28509,1773962281.95
T,28509,0
C,61641,1773962730.48
T,61641,0
C,18320,1773962824.51
C,18241,1773962990.87
T,18241,0
C,30408,1773963518.58
T,30408,0
C,17005,1773963565.91
T,17005,0
C,61362,1773963828.55
T,61362,0
C,30371,1773963880.84
T,30371,0
C,30567,1773964104.26
C,1322,1773964112.09
T,1322,0
C,30567,1773964224.73
T,30567,0
C,17024,1773965375.47
T,17024,0
C,18315,1773965705.91
T,18315,0
C,18303,1773965725.45
T,18303,0
C,30989,1773965772.36
T,30989,0
C,31745,1773967023.43
C,31778,1773970130.08
T,31778,0
C,31758,1773970564.66
T,31758,0
C,18320,1773970590.61
T,18320,0
C,30806,1773970658.69
T,30806,0
C,28336,1773970679.75
T,28336,0
C,30848,1773971724.71
T,30848,0
C,27445,1773971739.15
T,27445,0
C,27509,1773971912.35
T,27509,0
C,30972,1773972034.80
T,30972,0
C,28374,1773972118.86
C,594,1774018743.56
T,594,0
C,11978,1774019104.61
C,11978,1774019581.07
T,11978,0
C,12125,1774019891.32
T,12125,0
C,12138,1774020496.95
C,12393,1774020610.42
T,12393,0
C,12434,1774020703.45
T,12434,0
C,12438,1774020843.58
T,12438,0
C,12531,1774020998.44
T,12531,0
C,13131,1774021393.58
T,13131,0
C,12542,1774021615.93
T,12542,0
C,13150,1774021741.54
T,13150,0
C,13283,1774021816.25
T,13283,0
C,13299,1774021917.02
T,13299,0
C,15566,1774022084.40
T,15566,0
C,15570,1774022273.42
T,15570,0
C,15580,1774022354.30
T,15580,0
C,19501,1776563494.32
T,19501,0
C,12653,1776563541.45
T,12653,0
C,12403,1776563581.48
C,68729,1776564030.44
T,68729,0
C,15482,1776564143.95
T,15482,0
C,45968,1776564177.84
C,9430,1776564178.50
T,9430,0
C,13805,1776564191.10
T,13805,0
C,14836,1776564293.68
T,14836,0
C,22749,1776564320.15
T,22749,0
C,16698,1776564350.69
T,16698,0
C,19262,1776564424.79
T,19262,0
C,24092,1776564466.24
T,24092,0
C,11858,1776564479.01
C,19365,1776564480.11
T,19365,0
C,19062,1776564513.86
T,19062,0
C,18549,1776564566.24
T,18549,0
C,23837,1776564625.65
T,23837,0
C,22290,1776564676.07
T,22290,0
C,10740,1776564733.48
C,15501,1776564877.08
T,15501,0
C,14888,1776564980.89
T,14888,0
C,20972,1776565287.92
T,20972,0
C,20279,1776565855.72
T,20279,0
C,23203,1776565904.82
T,23203,0
C,21291,1776566467.42
T,21291,0
C,19740,1776571239.95
C,18848,1776571241.54
T,18848,0
C,84114,1776571256.10
T,84114,0
C,15244,1776571268.67
T,15244,0
C,20752,1776571280.22
T,20752,0
C,22968,1776571321.82
T,22968,0
C,13889,1776571422.65
T,13889,0
C,83968,1776571590.24
T,83968,0
C,20395,1776572335.49
T,20395,0
C,13112,1776572380.04
T,13112,0
C,14417,1776572470.60
T,14417,0
C,16793,1776572592.78
T,16793,0
C,15451,1776572614.81
T,15451,0
C,48020,1776692386.87
T,48020,0
C,50523,1776692421.43
T,50523,0
C,48217,1776692511.23
T,48217,0
C,47695,1776692527.59
T,47695,0
C,31821,1776692772.62
T,31821,0
C,47871,1776692976.52
C,47940,1776692986.01
T,47940,0
C,50507,1776692998.34
T,50507,0
C,50497,1776693076.22
T,50497,0
C,48002,1776693110.70
T,48002,0
C,48031,1776693125.95
T,48031,0
C,48087,1776693175.38
T,48087,0
C,31827,1776693325.62
T,31827,0
C,47760,1776693446.62
T,47760,0
C,47366,1776693575.53
T,47366,0
C,52688,1776693591.87
T,52688,0
C,47420,1776693608.76
T,47420,0
C,31854,1776694687.61
T,31854,0
C,48063,1776694700.65
T,48063,0
C,48301,1776694782.30
T,48301,0
C,50542,1776697318.70
C,43876,1776730062.85
